基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
光大尊富18个月定开债A,003065,10.65亿元（2020-09-30）,0.73%,1.21%,1.59%,4.47%,9.07%,9.19%,沈荣,2年又230天,7.50%,3年又162天
汇添富鑫利定开债券A,003532,10.34亿元（2020-09-30）,0.69%,1.06%,1.28%,2.75%,12.36%,14.82%,杨靖,293天,1.46%,1年又323天
汇添富鑫益定开债发起式C,004470,0.00亿元（2020-09-30）,0.69%,0.96%,1.05%,2.23%,9.88%,12.84%,徐一恒,1年又129天,3.33%,1年又129天
长城久荣纯债定开,005845,19.73亿元（2020-09-30）,0.84%,1.23%,1.39%,2.86%,--,9.65%,魏建,174天,1.56%,184天
博时广利纯债3个月定开,004334,60.11亿元（2020-09-30）,0.90%,1.34%,1.59%,3.17%,15.45%,19.57%,李秋实,187天,1.53%,187天
海富通融丰定开债券,005277,20.39亿元（2020-09-30）,0.82%,1.24%,1.25%,2.35%,--,15.32%,刘田/夏妍妍/张靖爽,188天,0.89%,188天/3年又6天/4年又173天
兴业启元一年定开债C,003310,1.73亿元（2020-09-30）,0.35%,0.94%,1.25%,3.55%,11.43%,13.38%,唐丁祥,1年又319天,7.02%,1年又326天
兴银长盈三个月定开债,004123,20.18亿元（2020-09-30）,0.81%,0.84%,1.35%,2.73%,15.15%,17.58%,陶国峰,355天,2.46%,1年又39天
嘉实致融一年定期债券,008661,10.15亿元（2020-09-30）,0.53%,0.85%,1.57%,2.93%,--,2.86%,胡永青,1年又17天,2.86%,8年又250天
华融雄安建设发展三年定开,009399,7.26亿元（2020-09-30）,1.44%,1.53%,1.76%,--,--,1.78%,黄诺楠,193天,1.78%,3年又35天
博时安弘一年定开债发起式C,003683,0.00亿元（2020-09-30）,0.84%,-2.62%,-1.63%,-1.17%,12.55%,12.70%,魏桢,4年又57天,12.70%,7年又349天
中银丰进定期开放债券,005072,5.14亿元（2020-12-31）,1.08%,1.72%,1.72%,1.92%,18.01%,18.40%,田原,1年又262天,5.56%,1年又323天
华夏鼎诺三个月定开债C,004980,0.00亿元（2017-10-13）,0.79%,0.86%,0.86%,0.86%,0.86%,0.86%,刘明宇,1年又5天,0.98%,3年又31天
汇添富鑫汇定开债券C,004656,0.00亿元（2020-09-30）,0.74%,1.17%,1.09%,2.15%,10.73%,13.03%,杨靖,1年又136天,3.47%,1年又323天
博时裕盈3个月定开债,001546,19.89亿元（2020-09-30）,0.60%,0.81%,2.09%,4.96%,19.72%,26.62%,程卓,1年又306天,9.98%,4年又153天
西部利得双盈一年定开债券,008668,2.09亿元（2020-09-30）,0.63%,0.76%,1.07%,--,--,0.51%,张英,291天,0.51%,1年又152天
民生加银汇鑫一年定开债A,004254,9.94亿元（2020-09-30）,0.79%,1.20%,1.73%,4.19%,19.00%,22.44%,刘昊,167天,1.56%,167天
建信睿丰纯债定期开放债券,005455,30.56亿元（2020-09-30）,0.77%,0.89%,1.44%,3.55%,--,8.69%,李峰,2年又303天,8.69%,3年又241天
汇添富鑫汇定开债券A,004655,5.00亿元（2020-09-30）,0.79%,1.29%,1.29%,2.56%,12.07%,14.63%,杨靖,1年又136天,4.04%,1年又323天
招商添润3个月定开债A,005594,100.74亿元（2020-09-30）,0.65%,1.08%,1.30%,2.43%,--,12.29%,周欣宇,2年又359天,12.29%,3年又64天
兴全恒瑞定开债券发起式,006984,39.95亿元（2020-09-30）,0.81%,1.11%,1.67%,3.21%,--,6.00%,季伟杰/张睿,1年又200天,6.35%,1年又200天/8年又260天
浙商惠泉3个月定开债C,007225,0.00亿元（2020-09-30）,0.84%,1.31%,1.18%,1.39%,--,1.43%,陈亚芳/刘爱民/周锦程,73天,0.93%,73天/2年又361天/3年又328天
博时丰达纯债6个月定开债,003651,44.78亿元（2020-09-30）,0.45%,0.97%,0.84%,2.41%,13.35%,14.85%,程卓,2年又263天,11.00%,4年又153天
富国德利纯债定开债,006750,82.45亿元（2020-09-30）,0.82%,1.10%,1.25%,2.13%,--,5.29%,张明凯/黄纪亮,1年又298天,5.20%,5年又340天/7年又320天
中加颐兴定开债券,005879,30.01亿元（2020-09-30）,0.74%,0.73%,1.13%,2.52%,--,12.56%,杨宇俊,1年又12天,2.73%,4年又294天
银河聚星两年定开债券,007890,30.57亿元（2020-09-30）,0.31%,1.03%,1.63%,2.84%,--,2.96%,蒋磊,1年又24天,2.96%,4年又138天
民生加银和鑫定开债,002452,51.61亿元（2020-09-30）,0.79%,1.16%,1.55%,3.06%,25.73%,37.43%,姚航,1年又67天,4.21%,6年又357天
融通通昊三个月定开债,005289,19.92亿元（2020-09-30）,0.83%,-0.17%,0.21%,2.28%,--,14.69%,张一格/黄浩荣,2年又203天,14.56%,7年又237天/3年又167天
华夏鼎旺三个月定开债A,005213,31.69亿元（2020-09-30）,0.94%,1.40%,1.47%,3.95%,--,15.63%,张海静,1年又166天,5.91%,1年又310天
博时富业3个月定开债,005462,14.93亿元（2020-09-30）,0.59%,-2.65%,-1.88%,-0.83%,--,7.80%,倪玉娟,1年又145天,1.05%,2年又277天
华夏鼎诺三个月定开债A,004979,2.11亿元（2020-09-30）,0.81%,1.21%,1.06%,1.81%,6.30%,6.32%,刘明宇,1年又5天,1.78%,3年又31天
广发汇立定期开放债券,006137,20.75亿元（2020-09-30）,0.66%,1.09%,0.80%,2.98%,--,8.00%,洪志/谢军,227天,-0.03%,2年又1天/14年又124天
博时安弘一年定开债发起式A,003682,5.21亿元（2020-09-30）,0.87%,-2.51%,-1.43%,-0.78%,13.92%,14.58%,魏桢,4年又57天,14.58%,7年又349天
嘉实安泽一年定开债纯债,009600,5.10亿元（2020-09-07）,0.70%,1.00%,--,--,--,1.00%,王茜,125天,1.00%,16年又350天
西部利得聚利6个月定开债C,007376,1.57亿元（2020-09-30）,0.62%,0.69%,0.66%,2.29%,--,5.04%,严志勇,1年又179天,5.04%,3年又155天
博时裕坤3个月定开债,002143,85.15亿元（2020-09-30）,0.73%,1.25%,1.50%,3.21%,16.38%,19.65%,郭思洁,242天,0.93%,242天
平安合丰定开债,005895,25.58亿元（2020-09-30）,0.62%,1.15%,1.19%,2.89%,--,12.31%,余斌,1年又143天,4.75%,3年又87天
浦银安盛盛勤3个月定开债C,519335,0.00亿元（2020-09-30）,0.52%,0.88%,1.05%,2.06%,7.73%,9.36%,李羿,220天,0.71%,6年又119天
平安合慧定开债,005896,30.32亿元（2020-09-30）,0.57%,-0.25%,0.03%,1.31%,--,7.17%,余斌,1年又143天,2.28%,3年又87天
南方惠利6个月定开债C,006996,0.49亿元（2020-09-30）,1.12%,1.52%,1.52%,3.76%,--,6.76%,金凌志,1年又291天,6.76%,3年又167天
中融季季红定开债C,005714,0.00亿元（2020-09-30）,0.65%,1.07%,1.03%,3.39%,--,12.30%,王玥,1年又248天,5.40%,6年又195天
兴业启元一年定开债A,003309,2.45亿元（2020-09-30）,0.38%,1.05%,1.45%,3.96%,12.78%,15.31%,唐丁祥,1年又319天,7.82%,1年又326天
华安安盛3个月定开债,006936,10.12亿元（2020-09-30）,0.73%,1.01%,1.39%,2.91%,--,6.74%,石雨欣,76天,0.61%,5年又179天
嘉实民企精选一年定开债,008118,2.97亿元（2020-09-30）,0.49%,0.15%,1.06%,3.61%,--,3.85%,轩璇,26天,0.40%,1年又67天
华夏恒融一年定开债,004063,3.86亿元（2020-09-30）,1.14%,1.65%,1.54%,4.88%,12.75%,17.94%,刘明宇/柳万军,1年又246天,8.91%,3年又31天/7年又12天
太平恒安三个月定开债,007545,9.98亿元（2020-09-30）,0.96%,1.77%,1.95%,5.05%,--,6.31%,吴超,1年又198天,6.31%,2年又333天
广发汇吉3个月定开债,005234,16.06亿元（2020-09-30）,0.84%,1.43%,1.25%,1.95%,--,11.46%,洪志/代宇,1年又276天,4.85%,2年又1天/9年又161天
鹏华永安定期开放债券,004438,3.63亿元（2020-09-30）,0.65%,0.72%,1.64%,3.97%,19.55%,21.98%,邓明明/祝松,1年又220天,7.68%,1年又220天/6年又324天
华夏鼎泰六个月定开债A,005407,50.14亿元（2020-09-30）,0.83%,1.08%,1.38%,3.06%,--,14.27%,柳万军,2年又273天,14.27%,7年又12天
宝盈聚享定期开放债券,006946,49.05亿元（2020-09-30）,0.76%,1.31%,1.49%,3.15%,--,5.31%,杨献忠,1年又248天,5.31%,2年又265天
国寿安保安盛纯债3个月定开债,004797,56.43亿元（2020-09-30）,0.77%,1.12%,1.46%,2.93%,15.34%,15.53%,黄力,3年又16天,15.53%,6年又357天
博时富汇3个月定开债发起式,007659,9.56亿元（2020-09-30）,0.60%,0.73%,0.82%,3.05%,--,4.16%,陈黎,1年又148天,4.16%,2年又277天
中融聚商定期开放债券,005361,32.74亿元（2020-09-30）,0.74%,1.32%,1.34%,3.24%,--,12.60%,李倩,2年又309天,12.60%,6年又83天
前海联合泓瑞定开债券,005722,50.36亿元（2020-09-30）,0.91%,1.43%,1.40%,3.08%,--,12.59%,敬夏玺,2年又310天,12.59%,4年又146天
华夏鼎禄三个月定开债券A,005862,6.57亿元（2020-09-30）,0.92%,1.34%,1.39%,3.96%,--,9.72%,刘明宇,2年又92天,9.72%,3年又31天
国投瑞银顺源6个月定开债,005641,19.75亿元（2020-09-30）,0.86%,1.46%,1.40%,3.59%,--,14.90%,宋璐,1年又56天,4.41%,4年又169天
华夏鼎福三个月定开债A,005791,2.08亿元（2020-09-30）,0.90%,1.17%,0.54%,1.75%,--,7.05%,刘明宇,248天,-1.58%,3年又31天
广发汇佳定期开放债券,005647,39.81亿元（2020-09-30）,0.87%,1.43%,1.43%,2.63%,--,11.44%,王予柯,2年又305天,11.44%,5年又230天
平安合锦定开债,006412,33.48亿元（2020-09-30）,0.63%,0.72%,1.11%,2.67%,--,8.63%,田元强,130天,0.96%,2年又46天
前海开源乾盛定开债A,005720,49.46亿元（2020-09-30）,0.85%,1.42%,1.34%,3.55%,--,12.92%,林悦/刘静,2年又17天,8.78%,2年又17天/10年又81天
中信建投稳悦债券,008487,7.34亿元（2020-09-30）,0.89%,1.37%,1.64%,4.76%,--,4.76%,许健,1年又12天,4.76%,3年又323天
平安合盛定开债,007158,29.96亿元（2020-09-30）,0.72%,1.19%,1.32%,3.23%,--,5.12%,周琛,128天,1.37%,3年又111天
中银证券汇享定开债,005611,3.17亿元（2020-09-30）,0.66%,1.09%,1.48%,4.37%,--,14.64%,吴康,241天,0.38%,2年又46天
兴业安和6个月定开债,005442,40.44亿元（2020-09-30）,0.86%,1.52%,1.64%,2.74%,--,11.72%,冯小波,1年又44天,3.45%,5年又265天
中融聚安3个月定开债,005723,16.62亿元（2020-09-30）,0.75%,1.13%,1.31%,2.70%,--,13.32%,李倩,2年又95天,9.90%,6年又83天
南方多元定开债券,003406,9.78亿元（2020-09-30）,0.56%,0.96%,1.38%,8.40%,34.38%,36.41%,刘文良,1年又288天,10.84%,5年又145天
易方达恒利定期开放债券,007104,15.06亿元（2020-09-30）,0.61%,0.71%,0.93%,2.95%,--,6.14%,纪玲云/胡剑,1年又282天,6.14%,7年又120天/8年又318天
国寿安保安裕纯债半年定开债,005208,60.12亿元（2020-09-30）,0.70%,0.93%,1.24%,2.82%,16.75%,17.45%,董瑞倩/黄力,3年又58天,17.45%,6年又172天/6年又357天
光大尊盈半年定开债A,001968,20.08亿元（2020-09-30）,0.66%,1.24%,1.05%,3.00%,12.05%,14.74%,沈荣,2年又293天,10.88%,3年又162天
金鹰添益3个月定开债,003163,26.36亿元（2020-09-30）,0.72%,1.29%,1.33%,2.57%,14.24%,18.88%,黄倩倩,2年又246天,12.21%,3年又219天
华泰柏瑞益商一年定开债券,008650,10.06亿元（2020-09-30）,0.71%,1.09%,1.31%,--,--,1.74%,罗远航,356天,1.74%,6年又34天
华泰柏瑞益通三个月定开债,007958,10.09亿元（2020-09-30）,0.58%,0.99%,1.53%,2.88%,--,3.00%,罗远航,1年又57天,3.00%,6年又34天
光大尊盈半年定开债C,001969,0.10亿元（2020-09-30）,0.64%,1.14%,0.85%,2.59%,10.72%,13.11%,沈荣,2年又293天,9.66%,3年又162天
建信睿和纯债定开债,005375,50.05亿元（2020-09-30）,0.75%,0.69%,1.21%,3.21%,--,15.62%,徐华婧/闫晗/黎颖芳,187天,1.13%,187天/3年又69天/11年又328天
中银信享定期开放债券,004899,9.91亿元（2020-09-30）,1.02%,1.48%,1.65%,2.19%,14.12%,15.14%,索丽娜/白洁,299天,0.98%,1年又318天/9年又302天
汇添富鑫成定开债A,005857,20.85亿元（2020-09-30）,0.25%,0.73%,0.84%,1.75%,--,11.71%,杨靖,131天,0.96%,1年又323天
南方涪利定开债,005476,7.93亿元（2020-09-30）,0.67%,1.05%,1.34%,2.78%,--,13.82%,何康,2年又274天,13.82%,6年又56天
华泰保兴尊享定开,007767,2.08亿元（2020-09-30）,0.44%,0.65%,0.94%,3.08%,--,4.69%,周咏梅,1年又131天,4.69%,2年又339天
天弘尊享定开债发起式,005488,34.76亿元（2020-09-30）,1.03%,1.34%,1.52%,3.20%,15.59%,15.63%,王昌俊,1年又24天,3.50%,2年又271天
南方卓利3个月定开债A,005393,137.36亿元（2020-09-30）,0.75%,1.17%,1.28%,2.38%,--,12.86%,金凌志,2年又357天,12.86%,3年又167天
国投瑞银顺悦债券,007445,0.00亿元（2020-09-30）,0.82%,1.37%,6.07%,5.33%,--,5.35%,王侃,57天,1.15%,80天
浦银安盛盛勤3个月定开债A,519334,49.21亿元（2020-09-30）,0.51%,0.91%,1.11%,2.20%,8.51%,10.43%,李羿,220天,0.79%,6年又119天
融通增祥三个月定开债,002719,2.73亿元（2020-09-30）,0.39%,0.34%,0.93%,4.05%,12.39%,19.81%,许富强,2年又238天,11.25%,2年又238天
民生加银汇鑫一年定开债C,004255,1.42亿元（2020-09-30）,0.75%,1.11%,1.58%,3.88%,17.94%,21.10%,刘昊,167天,1.42%,167天
银河睿丰定开债券,006086,20.44亿元（2020-09-30）,0.77%,1.19%,1.25%,2.51%,--,7.35%,蒋磊,2年又52天,7.35%,4年又138天
南方创利3个月定开债,008039,30.22亿元（2020-09-30）,0.66%,1.09%,0.99%,1.48%,--,1.49%,刘骥/金凌志,107天,1.10%,1年又302天/3年又167天
嘉实丰安6个月定期债券,004030,15.16亿元（2020-09-30）,0.52%,0.88%,1.23%,2.27%,14.18%,16.70%,王亚洲,4年又13天,16.70%,5年又187天
浙商汇金聚鑫定开债发起式,006927,9.99亿元（2020-09-30）,0.78%,1.30%,1.46%,3.14%,--,6.41%,王宇超,33天,0.78%,152天
平安合信定开债,004630,24.87亿元（2020-09-30）,0.91%,0.99%,1.30%,4.10%,--,4.54%,田元强,1年又26天,4.54%,2年又46天
华安安逸半年定开债,005501,19.12亿元（2020-09-30）,0.76%,1.35%,1.58%,3.14%,--,10.50%,郑如熙,2年又302天,10.50%,3年又192天
华安鼎瑞定开债发起式,005377,20.28亿元（2020-09-30）,0.80%,1.30%,1.23%,3.07%,11.55%,11.98%,李邦长,3年又29天,11.98%,4年又315天
博时富洋一年定开债发起式,008829,9.99亿元（2020-09-30）,0.62%,1.10%,1.65%,--,--,2.19%,王申,361天,2.19%,5年又235天
华夏鼎琪三个月定开债券,007576,10.04亿元（2020-09-30）,0.74%,1.21%,0.50%,6.04%,--,7.43%,何家琪,1年又171天,7.43%,4年又128天
鹏华尊享定开债发起式,006029,81.31亿元（2020-09-30）,0.74%,1.25%,1.39%,2.86%,--,9.15%,祝松/邓明明,1年又84天,3.90%,6年又324天/1年又220天
南方国利6个月定开债,006842,23.29亿元（2020-09-30）,0.67%,0.90%,1.17%,2.44%,--,6.63%,李慧鹏,163天,1.11%,6年又79天
银河庭芳3个月定开债券,005749,13.16亿元（2020-09-30）,0.72%,1.19%,1.33%,3.30%,--,11.37%,刘铭,2年又303天,11.37%,4年又33天
财通睿智6个月定开债,005731,13.27亿元（2020-09-30）,0.67%,1.18%,1.26%,3.14%,--,11.73%,夏金涛/李杰,193天,0.90%,193天/8年又5天
泰达宏利金利债券,005753,29.32亿元（2020-09-30）,0.91%,1.54%,1.61%,2.58%,--,12.06%,李祥源,354天,2.43%,1年又87天
华夏鼎祥三个月定开债A,004923,10.10亿元（2020-09-30）,0.86%,1.07%,1.20%,4.17%,11.72%,12.40%,张海静,201天,1.32%,1年又310天
永赢汇利六个月定开债,007086,1.03亿元（2020-09-30）,0.75%,1.29%,1.21%,2.98%,--,3.87%,乔嘉麒,1年又89天,3.87%,3年又230天
南华瑞元定期开放债券,006667,2.10亿元（2020-09-30）,0.85%,1.35%,1.38%,5.73%,--,9.84%,孙海龙/曹进前/王明德,191天,1.21%,191天/3年又16天/2年又282天
南方宏元定开债券A,004180,20.55亿元（2020-09-30）,0.76%,1.27%,1.39%,2.53%,15.04%,18.65%,刘骥,1年又232天,4.97%,1年又302天
鹏华丰泰定开债B,001950,0.00亿元（2020-09-30）,0.54%,0.96%,1.13%,2.52%,10.55%,16.40%,戴钢,5年又76天,16.40%,9年又36天
华安安腾一年定开债,008904,5.05亿元（2020-09-30）,0.48%,1.05%,1.10%,--,--,-0.02%,马晓璇,263天,-0.02%,2年又130天
中银证券汇嘉定期开放债券,005309,411.48亿元（2020-09-30）,0.94%,1.62%,1.59%,3.33%,--,13.21%,余亮/吕文晔,1年又59天,4.46%,1年又59天/3年又155天
金鹰添润定开债,004045,0.10亿元（2020-09-30）,0.92%,0.93%,1.14%,1.23%,11.46%,15.58%,黄倩倩,2年又184天,8.55%,3年又219天
嘉实致兴定开债发起式,005670,34.48亿元（2020-09-30）,-0.91%,-6.50%,-5.33%,-4.83%,--,8.46%,王立芹/尹页,17天,0.10%,80天/2年又111天
南华瑞鑫定期开放债券,005625,22.87亿元（2020-09-30）,0.70%,0.67%,-0.56%,0.61%,--,9.53%,孙海龙/王明德,191天,-0.91%,191天/2年又282天
华泰紫金季季享定开债A,006654,17.00亿元（2020-09-30）,0.38%,-1.36%,-0.42%,2.45%,--,10.34%,刘振超/陈晨/李博良,292天,0.76%,292天/1年又311天/3年又140天
南方宏元定开债券C,004181,0.00亿元（2019-06-30）,-0.98%,-0.47%,-0.36%,0.77%,11.20%,14.69%,刘骥,1年又232天,1.47%,1年又302天
华夏鼎顺三个月定开债A,005364,8.05亿元（2020-09-30）,0.87%,1.29%,0.68%,1.88%,--,6.94%,刘明宇,248天,-1.22%,3年又31天
华夏恒利定开债,002552,9.67亿元（2020-09-30）,1.13%,1.77%,1.90%,2.29%,14.21%,16.84%,刘明宇,1年又43天,3.59%,3年又31天
中融聚汇定期开放债券,006706,20.32亿元（2020-09-30）,0.50%,0.91%,1.17%,2.34%,--,3.70%,朱柏蓉/王玥,1年又113天,3.46%,1年又346天/6年又195天
人保安惠三个月定开债,006686,2.11亿元（2020-09-30）,0.30%,0.69%,0.81%,2.92%,--,7.40%,田阳,310天,0.85%,1年又185天
国泰瑞安三个月定期开放债券,006994,10.48亿元（2020-09-30）,0.55%,0.74%,0.78%,2.00%,--,4.49%,黄志翔,1年又226天,4.49%,4年又65天
大成通嘉三年定开债券C,008004,0.00亿元（2020-09-30）,0.23%,0.76%,1.46%,2.78%,--,3.09%,李富强,1年又47天,3.09%,4年又104天
平安合意定开债发起式,004632,30.10亿元（2020-09-30）,0.52%,0.89%,0.86%,1.48%,--,5.54%,苏宁,293天,0.19%,1年又17天
鹏华丰泰定开债A,000289,5.52亿元（2020-09-30）,0.57%,1.06%,1.32%,2.88%,11.71%,49.85%,戴钢,7年又110天,49.85%,9年又36天
山西证券裕睿6个月定开债A,007268,3.38亿元（2020-09-30）,0.79%,1.27%,2.07%,4.77%,--,8.12%,刘凌云,1年又222天,8.12%,3年又123天
景顺长城弘利39个月定开债,008333,81.11亿元（2020-09-30）,0.34%,0.83%,1.44%,2.75%,--,2.84%,成念良,1年又18天,2.84%,5年又32天
华安安平6个月定开债,007213,20.55亿元（2020-09-30）,0.39%,0.68%,0.95%,2.80%,--,5.26%,郑如熙,1年又219天,5.26%,3年又192天
大成通嘉三年定开债券A,008003,73.95亿元（2020-09-30）,0.26%,0.85%,1.60%,3.09%,--,3.43%,李富强,1年又47天,3.43%,4年又104天
华夏鼎祥三个月定开债C,004924,0.00亿元（2017-10-18）,0.85%,1.18%,1.18%,1.18%,1.18%,1.18%,张海静,201天,0.96%,1年又310天
平安季开鑫定开债E,007055,10.74亿元（2020-09-30）,0.81%,0.97%,0.95%,2.10%,--,4.06%,张文平,5天,0.18%,5年又164天
富国汇远三年定开债C,007991,0.00亿元（2020-09-30）,0.23%,0.69%,1.38%,2.67%,--,2.99%,张波/朱梦娜,1年又11天,2.69%,2年又347天/1年又324天
平安季开鑫定开债A,007053,3.64亿元（2020-09-30）,0.83%,1.04%,1.08%,2.34%,--,4.42%,张文平,5天,0.19%,5年又164天
浦银安盛盛泽定开债券,005898,16.13亿元（2020-09-30）,0.90%,1.48%,1.67%,2.83%,--,8.58%,章潇枫,2年又107天,8.58%,3年又241天
工银瑞祥定开发起式债券,005525,50.77亿元（2020-09-30）,0.94%,1.44%,1.51%,2.92%,--,12.89%,李娜,1年又150天,4.43%,3年又352天
嘉实安元39个月定期纯债A,008338,206.83亿元（2020-09-30）,0.26%,0.85%,1.56%,3.02%,--,3.26%,王茜,1年又33天,3.26%,16年又350天
山西证券裕睿6个月定开债C,007269,5.12亿元（2020-09-30）,0.76%,1.16%,1.87%,4.35%,--,7.43%,刘凌云,1年又222天,7.43%,3年又123天
富国汇优纯债63个月定开债,008521,81.30亿元（2020-09-30）,0.28%,0.88%,1.70%,--,--,3.14%,朱梦娜,363天,3.14%,1年又324天
西部利得尊逸三年定开债券,008219,43.03亿元（2020-09-30）,0.25%,0.77%,1.57%,3.06%,--,3.25%,刘心峰/韩丽楠,1年又36天,3.24%,3年又328天/5年又160天
中银证券汇远定开债,008862,2.09亿元（2020-09-30）,0.55%,1.08%,0.95%,--,--,0.56%,余亮,233天,0.56%,1年又59天
招商添琪3个月定开债A,005648,82.42亿元（2020-09-30）,0.59%,1.23%,1.53%,3.35%,--,13.35%,周欣宇,2年又316天,13.35%,3年又64天
安信永瑞定开债券,006040,17.24亿元（2020-09-30）,0.81%,1.31%,1.63%,3.38%,--,14.11%,王涛/肖芳芳,2年又38天,9.74%,4年又243天/3年又219天
国投瑞银顺荣定开债券C,009418,0.00亿元（2020-08-13）,0.28%,0.85%,--,--,--,1.16%,宋璐,150天,1.16%,4年又169天
工银泰和39个月定开债券C,009443,0.00亿元（2020-09-30）,0.24%,0.67%,1.16%,--,--,1.16%,王朔,186天,1.16%,7年又62天
中信保诚惠泽18个月定开债券,165530,15.09亿元（2020-09-30）,0.84%,1.22%,1.79%,4.25%,19.11%,22.60%,何文忠,361天,4.07%,1年又288天
景顺长城景泰添利一年定开债,008495,10.00亿元（2020-08-11）,0.34%,0.81%,--,--,--,1.08%,米良,152天,1.08%,2年又69天
华泰柏瑞锦兴39个月定开债,008649,38.06亿元（2020-09-30）,0.24%,0.67%,1.21%,--,--,2.29%,何子建,356天,2.29%,1年又299天
平安乐顺39个月定开债C,008597,0.00亿元（2020-09-30）,0.29%,0.79%,1.40%,2.70%,--,2.76%,段玮婧,1年又17天,2.76%,4年又6天
西部利得尊泰86个月定开债,009749,80.39亿元（2020-09-30）,0.33%,1.00%,--,--,--,1.50%,刘心峰,165天,1.50%,3年又328天
工银泰和39个月定开债券A,008027,75.95亿元（2020-09-30）,0.29%,0.82%,1.41%,--,--,1.41%,王朔,186天,1.41%,7年又62天
鑫元淳利定期开放债券,006142,2.09亿元（2020-09-30）,0.96%,1.45%,1.01%,4.54%,--,8.71%,赵慧,1年又92天,5.85%,4年又364天
民生加银39个月定期纯债,008693,78.37亿元（2020-09-30）,0.25%,0.75%,1.30%,--,--,2.45%,陆欣,359天,2.45%,10年又107天
招商招利一年理财债券,004780,141.63亿元（2020-09-30）,0.25%,0.72%,-2.52%,-0.25%,3.81%,5.23%,郭敏,2年又21天,-0.08%,2年又35天
南方浙利定开债券,005469,19.62亿元（2020-09-30）,0.70%,1.17%,1.15%,2.77%,--,13.26%,黄斌斌,1年又232天,5.57%,2年又336天
长江乐盈定开债发起式,005158,30.01亿元（2020-09-30）,0.75%,1.26%,1.19%,3.00%,12.79%,13.52%,漆志伟,3年又48天,13.52%,4年又86天
嘉实致元42个月定期债券,007589,23.08亿元（2020-09-30）,0.21%,0.84%,2.02%,3.88%,--,5.13%,王立芹/崔思维,13天,0.08%,80天/3年又189天
融通通远三个月定开债券,008573,9.53亿元（2020-09-30）,0.47%,1.25%,1.67%,--,--,1.56%,黄浩荣,212天,1.56%,3年又167天
金鹰添盛定开债券,005752,29.93亿元（2020-09-30）,0.78%,1.27%,1.34%,1.93%,--,8.14%,林暐/黄倩倩,1年又183天,4.14%,1年又199天/3年又219天
国投瑞银顺荣定开债券A,009417,79.99亿元（2020-08-13）,0.30%,0.91%,--,--,--,1.24%,宋璐,150天,1.24%,4年又169天
中信建投稳丰63个月定开债,009585,80.40亿元（2020-09-30）,0.30%,0.92%,--,--,--,1.43%,许健,166天,1.43%,3年又323天
平安乐顺39个月定开债A,008596,111.28亿元（2020-09-30）,0.30%,0.84%,1.52%,2.97%,--,3.04%,段玮婧,1年又17天,3.04%,4年又6天
景顺长城弘远66个月定开债,009235,80.45亿元（2020-09-30）,0.32%,0.95%,--,--,--,1.53%,何江波,178天,1.53%,1年又331天
建信荣禧一年定期开放债券,007699,6.37亿元（2020-09-30）,0.43%,1.13%,1.87%,2.56%,--,2.76%,先轲宇/于倩倩,23天,0.17%,3年又188天/7年又160天
长城嘉裕六个月定开债A,008171,12.07亿元（2020-09-30）,0.26%,0.87%,1.35%,2.76%,--,2.92%,徐涛国,1年又23天,2.92%,3年又203天
南方乾利定开债,005470,20.05亿元（2020-09-30）,0.73%,1.16%,1.10%,2.60%,--,13.17%,黄斌斌,1年又232天,5.44%,2年又336天
建信睿阳一年定期开放债券,008344,10.28亿元（2020-09-30）,0.73%,1.26%,1.39%,3.00%,--,3.08%,徐华婧/李峰,187天,1.28%,187天/3年又241天
中银证券安汇三年定开债,009799,79.90亿元（2020-09-01）,0.29%,0.89%,--,--,--,1.11%,曹张琪/王玉玺,131天,1.11%,242天/3年又364天
南方恒庆一年定开债C,007162,3.46亿元（2020-06-30）,0.25%,0.77%,0.83%,2.35%,--,3.70%,黄河,107天,0.81%,1年又302天
招商添锦1年定开债发起式,010507,10.10亿元（2020-12-18）,--,--,--,--,--,0.09%,黄晓婷,23天,0.09%,1年又357天
建信安心回报债券A,000105,0.29亿元（2020-09-30）,0.58%,0.51%,1.17%,3.67%,15.32%,39.87%,闫晗,1年又347天,8.03%,3年又69天
金鹰添鑫定开债发起式,006788,1.10亿元（2020-09-30）,0.76%,1.17%,1.25%,2.60%,--,6.30%,林暐/黄倩倩,1年又183天,4.49%,1年又199天/3年又219天
平安乐享一年定开债A,007758,26.35亿元（2020-09-30）,0.22%,0.68%,1.73%,3.51%,--,4.36%,段玮婧,1年又129天,4.36%,4年又6天
国泰惠信三年定开债,008017,142.75亿元（2020-09-30）,0.26%,0.82%,1.50%,2.97%,--,3.44%,刘嵩扬,191天,1.54%,191天
长盛稳益6个月C,007654,0.48亿元（2020-06-30）,-2.22%,-2.22%,-1.50%,-0.58%,--,0.08%,段鹏,1年又169天,0.08%,6年又277天
兴全恒祥88个月定开债券,009666,79.90亿元（2020-08-03）,0.43%,1.12%,--,--,--,1.63%,季伟杰,160天,1.63%,1年又200天
平安合颖定开债,005897,34.50亿元（2020-09-30）,0.84%,1.31%,1.27%,3.25%,--,9.74%,韩克/段玮婧,132天,1.44%,2年又130天/4年又6天
国泰聚盈三年定期开放债券,008217,51.34亿元（2020-09-30）,0.23%,0.73%,1.28%,2.37%,--,2.44%,刘嵩扬,191天,1.31%,191天
